#,Name,Team,Time_nice,Time_secs,Gap,HR,Watts,W/Kg,Points,Orange,KOM,Int. S,DS/DC,Report,MAR,Par.,Total
1,A. Layton,ABS,46:12,2772.9,0,0,266,3.2,64,3,0,25,0,0,10,2,104
2,H. Greenish,AZT,46:21,2781.2,8,182,305,3.3,54,3,20,45,9,0,0,2,133
3,J. Coote,Tesla,46:22,2782.4,10,144,279,3.2,45,3,14,13,12,0,0,2,89
4,M. Crowe,ABS,46:23,2783.3,10,0,235,3.4,38,3,17,8,0,0,0,2,68
5,N. Foley,AZT,46:23,2783.4,11,159,236,2.8,32,18,9,0,0,0,0,2,61
6,B. Smith,Lego,46:24,2784.1,11,158,189,2.4,29,3,12,25,0,0,0,2,71
7,G. Dix,ABS,46:25,2785.3,12,160,286,3.1,27,16,8,14,0,0,0,2,67
8,R. France,AZT,46:26,2786.6,14,166,259,3.2,26,10,10,11,0,0,0,2,59
9,N. Sharpe,Lego,46:27,2787.0,14,156,236,3.3,24,13,9,10,0,0,0,2,58
10,J. Warman ,ABS,46:27,2787.2,14,156,221,2.8,22,17,8,20,8,0,0,2,77
11,E. Wetbeak,Lego,46:27,2787.2,14,143,270,3.2,21,15,8,8,0,0,0,2,54
12,D. Thompson,ABS,46:41,2801.3,28,0,208,2.7,19,12,0,11,0,0,0,2,44
13,A. (Scottie) Neil,Tesla,47:18,2838.6,66,148,192,2.7,18,4,0,0,0,0,0,2,24
14,C. Graley ,ABS,47:19,2839.3,66,153,241,3.4,18,11,0,8,0,0,0,2,39
15,G. Humphreys,Tesla,47:21,2841.0,68,162,263,3.1,17,14,0,8,0,20,0,2,61
16,C. Monk,Lego,47:21,2841.4,69,0,237,3.3,17,20,0,9,5,0,0,2,53
17,T. Lopez,AZT,47:22,2842.7,70,154,335,2.9,16,9,0,24,0,0,0,2,51
18,D. Greenish,AZT,47:25,2845.4,73,178,216,2.6,15,3,0,12,0,0,0,2,32
19,B. Wilson,AZT,47:34,2854.4,82,0,126,3.8,15,3,0,0,0,0,0,2,20
20,L. Felton,Lego,47:36,2856.8,84,171,155,2.7,14,6,0,0,0,0,0,2,22
21,R.Tyler,AZT,48:05,2885.6,113,146,250,2.5,13,8,0,0,0,0,0,2,23
22,O. Dammone,Tesla,50:13,3013.9,241,162,186,2.3,13,3,0,0,0,0,0,2,18
23,S. Kapila,Tesla,50:38,3038.8,266,0,174,2.7,12,7,0,0,0,0,0,2,21
