Pos,Team,Name,Time,Points,BP,Total
1,ABS,D. Thompson,38:07,335,,335
2,Tesla,E. Smith,38:48,251,,251
3,AZT,T. Lopez,39:04,167,,167
4,Lego,E. Wetbeak,39:51,84,,84
