Stage,Zwift_id,Actual
Stage_1,3921745,
Stage_2,3938380,
Stage_3,3958917,
TTT_Tesla,3960850,3977847
TTT_ABS,3894781,3977849
TTT_AZT,3960851,3977853
TTT_LEGO,3966815,3977842
Stage_4,,
Stage_5,,
Stage_6,,
