Name,Team,Zwift_Id,Prologue,Stage_1,Stage_2,Stage_3,TTT,Stage_4,Stage_5,Stage_6
A. (Scottie) Neil,Tesla,3280258,,,2597.3,,,,,
T. File,Lego,2856855,,,2737.7,,,,,
H. Courtier,ABS,1489654,,,,2862.9,,,,
D. Greenish,AZT,4564184,,2475.0,2597.3,,,,,
D. Singh,AZT,2475657,,,,2862.9,2504.96,,,
C. Graley ,ABS,2953217,,,,,2376.71,,,
G. Humphreys,Tesla,328191,,,,,2376.71,,,
C. Monk,Lego,392660,,,,,2391.68,,,
T. Mogford,Lego,2754772,,,,2862.9,,,,
